x,y
-5.1981,6.1564
5.3533,8.7339
-20.8019,-7.9174
-21.2074,1.669
-7.9061,-2.8752
5.7653,-7.2774
49.7511,-3.1792
18.4281,-3.9219
17.7056,-15.1848
16.7376,10.223
17.9399,-21.6067
13.8482,-9.5056
5.5143,2.7241
10.2949,-15.705
0.8757,16.286
3.3747,-18.832
1.0283,-6.4531
12.2223,-28.7762
-47.2169,-2.0674
-19.7778,-18.5272
-6.3205,-14.2839
11.1696,-26.9152
-21.6672,10.4072
-4.8691,6.0372
6.0906,8.397
-20.4629,-8.2463
-20.8818,1.4372
-7.6365,-3.0785
6.0618,-7.4339
49.7546,-3.2219
18.6088,-3.9441
18.1536,-15.6859
16.9647,10.1892
18.2874,-22.1707
14.0195,-10.1519
5.9276,2.5591
10.5572,-16.2923
0.873,16.2867
3.0681,-19.4063
0.4968,-6.8861
12.7093,-29.2564
-47.2182,-2.0663
-19.3811,-18.7919
-6.0369,-14.5964
11.8977,-27.6011
-21.326,10.0746
-4.4821,5.9093
6.3858,8.2417
-20.2822,-8.4072
-20.5203,1.1888
-7.3235,-3.3077
6.7896,-7.6403
49.7554,-3.2384
18.6783,-3.9545
18.5647,-16.1594
17.306,10.0403
18.6032,-22.7245
14.1701,-10.7765
6.44,2.3809
10.8534,-16.8453
0.8719,16.2871
2.7721,-19.9976
-0.0419,-7.3816
13.1617,-29.6772
-47.0647,-2.5438
-19.0031,-19.0725
-5.7266,-14.9038
12.6686,-28.3176
-21.1847,9.9567
-4.0757,5.7622
7.0763,8.0422
-19.958,-8.5767
-20.1748,0.9142
-6.9977,-3.5591
7.6974,-7.8222
49.7554,-3.2445
19.1214,-3.9721
19.06,-16.6728
17.5807,9.6073
18.905,-23.2366
14.3677,-11.4875
7.0209,2.2463
11.1813,-17.4501
0.8715,16.2873
2.4925,-20.5833
-0.5304,-7.9039
13.5822,-30.0618
-47.0043,-2.7307
-18.6225,-19.3378
-5.3886,-15.2118
13.4677,-29.0028
-20.8562,9.7542
-3.6853,5.6306
7.8896,7.8551
-19.6122,-8.7658
-19.8282,0.6817
-6.6663,-3.797
8.6725,-8.1362
49.7553,-3.2469
19.7012,-4.057
19.5657,-17.1809
17.846,9.0687
19.2424,-23.7773
14.6152,-12.2108
7.5425,2.1431
11.4728,-18.061
0.8713,16.2873
2.2518,-21.1688
-0.7591,-8.1399
13.9794,-30.435
-46.9791,-2.7986
-18.2224,-19.5867
-5.2523,-15.3363
14.1551,-29.7421
-20.47,9.5378
-3.2534,5.5097
8.714,7.6207
-19.2233,-8.9671
-19.4475,0.4534
-6.347,-4.0451
9.549,-8.4714
49.7552,-3.2479
20.348,-4.1211
19.8115,-17.4239
17.9337,8.851
19.6099,-24.3316
14.812,-12.9263
8.0865,2.0047
11.7058,-18.646
0.8712,16.2874
1.9187,-21.7272
-0.8598,-8.2498
14.3587,-30.781
-46.9689,-2.8229
-17.797,-19.8246
-4.9831,-15.5385
14.2801,-29.9092
-20.049,9.3231
-2.8229,5.3938
9.5905,7.3782
-18.787,-9.2004
-19.0796,0.1779
-6.0071,-4.3271
10.4932,-8.8218
49.7551,-3.2482
21.0656,-4.1567
19.877,-17.9179
17.9681,8.7681
19.9977,-24.9073
15.155,-13.3517
8.6393,1.9142
11.9999,-19.2201
0.8712,16.2874
1.6047,-22.2879
-0.9079,-8.3006
14.7121,-31.1195
-46.9646,-2.8318
-17.6224,-19.9118
-4.66,-15.7315
14.3276,-29.9798
-19.6121,9.1127
-2.3772,5.2862
10.471,7.1919
-18.3421,-9.4243
-18.6961,-0.0944
-5.8753,-4.4386
11.4398,-9.1785
49.7551,-3.2484
21.3418,-4.1728
20.0309,-18.1775
17.9809,8.7331
20.3589,-25.455
15.5347,-13.6888
9.209,1.8105
12.2364,-19.8201
0.8712,16.2874
1.2843,-22.8725
-0.9288,-8.3256
15.0435,-31.4433
-46.963,-2.8352
-17.2767,-20.0334
-4.2748,-15.9558
14.3444,-30.0073
-19.1751,8.8997
-1.982,5.1564
11.3998,6.9863
-17.908,-9.6419
-18.3399,-0.3705
-5.5896,-4.5906
11.8137,-9.3372
49.7551,-3.2485
21.4502,-4.1796
20.2549,-18.3241
17.9857,8.718
20.6943,-25.9823
15.7696,-14.219
9.764,1.6813
12.4788,-20.4353
0.8712,16.2874
0.9609,-23.4155
-0.9389,-8.3374
15.3538,-31.7662
-46.9624,-2.8365
-16.832,-20.1993
-3.8783,-16.1816
14.7672,-30.4925
-18.7488,8.6628
-1.6061,5.0366
12.346,6.7707
-17.467,-9.8793
-17.9914,-0.61
-5.2138,-4.7651
12.5858,-9.3311
49.7551,-3.2485
21.4931,-4.1823
20.4928,-18.4095
17.9874,8.712
21.0594,-26.5263
16.0239,-14.3725
9.978,1.6468
12.7558,-21.0021
0.8712,16.2874
0.6034,-23.9564
-0.9436,-8.3432
15.6469,-32.0716
-46.9621,-2.837
-16.3662,-20.3212
-3.4532,-16.3809
15.3743,-31.101
-18.3491,8.4454
-1.4843,4.9958
13.356,6.5843
-17.0399,-10.1347
-17.8173,-0.7215
-4.8748,-4.9451
13.4677,-9.2515
49.7551,-3.2485
21.5105,-4.1822
20.6176,-18.4495
17.9881,8.7095
21.4501,-27.1002
16.4061,-14.5692
10.0511,1.631
13.008,-21.6065
0.8712,16.2874
0.2657,-24.4561
-0.9459,-8.3459
15.9358,-32.3649
-46.9621,-2.8372
-15.9235,-20.4629
-3.0514,-16.5825
15.6093,-31.3308
-17.9263,8.262
-1.1782,4.9526
13.7763,6.5103
-16.6527,-10.3593
-17.5092,-0.8799
-4.5148,-5.1116
14.3571,-9.1267
49.7551,-3.2485
21.5178,-4.1823
21.0711,-18.4637
17.9884,8.7084
21.7839,-27.5852
16.7339,-14.5985
10.0769,1.6254
13.1501,-21.8709
0.8712,16.2874
-0.0471,-24.9631
-0.7597,-8.6235
16.2025,-32.6333
-46.962,-2.8373
-15.4763,-20.6213
-2.682,-16.7893
15.7045,-31.4091
-17.4822,8.0616
-0.7785,4.8858
14.507,6.5724
-16.2358,-10.5917
-17.1279,-1.0733
-4.1444,-5.2895
15.3332,-9.0483
49.7551,-3.2485
21.5205,-4.1821
21.6458,-18.531
17.9885,8.7079
21.9478,-27.7883
16.8621,-14.6137
10.4021,1.4249
13.4851,-22.2071
0.8712,16.2874
-0.3466,-25.5338
-0.6736,-8.7557
16.4442,-32.8717
-46.962,-2.8373
-15.0412,-20.7873
-2.2922,-16.9765
16.1153,-31.8968
-17.0787,7.8176
-0.3925,4.824
15.4006,6.7362
-15.8185,-10.8366
-16.6821,-1.2578
-3.7663,-5.4456
15.7225,-9.0198
49.7551,-3.2485
21.6847,-4.211
21.9341,-18.5463
17.9886,8.7077
22.2998,-27.6205
17.3693,-14.6477
10.5219,1.3428
13.9344,-22.5681
0.8712,16.2874
-0.63,-26.0948
-0.633,-8.8192
16.6713,-33.0934
-46.962,-2.8373
-14.5751,-20.906
-1.8844,-17.1805
16.2001,-31.9776
-16.922,7.7318
0.016,4.7571
15.7587,6.8176
-15.6016,-10.9477
-16.249,-1.4414
-3.3617,-5.583
15.8776,-8.9993
49.7551,-3.2485
21.9166,-4.2643
22.285,-18.6142
17.9886,8.7077
22.4394,-27.8112
17.9874,-14.6836
10.5633,1.316
14.4321,-22.9422
0.8712,16.2874
-0.9445,-26.633
-0.6118,-8.8482
16.8786,-33.3068
-46.962,-2.8373
-14.1263,-21.0569
-1.4969,-17.4262
16.6483,-32.4974
-16.5467,7.605
0.4088,4.6922
15.9146,6.8477
-15.2865,-11.0427
-15.8146,-1.6555
-2.9785,-5.7317
15.9342,-8.9916
49.7551,-3.2485
22.1714,-4.3174
22.5981,-18.5735
17.9886,8.7076
22.5924,-28.02
18.2274,-14.6942
10.9226,1.1322
14.6437,-23.099
0.8712,16.2874
-1.2758,-27.2025
-0.602,-8.8626
17.0762,-33.5085
-46.962,-2.8373
-13.6754,-21.2047
-1.1083,-17.6385
16.7088,-32.5471
-16.0965,7.4836
0.8582,4.6012
15.9796,6.8553
-14.8888,-11.1541
-15.3975,-1.8905
-2.592,-5.8879
15.9564,-8.9884
49.7551,-3.2485
22.2795,-4.3442
22.7467,-18.5586
17.9886,8.7076
22.9489,-27.8583
18.318,-14.7054
11.0597,1.0629
14.8849,-23.1661
0.8712,16.2874
-1.5676,-27.7217
-0.5966,-8.8697
17.251,-33.6944
-46.962,-2.8373
-13.2177,-21.3066
-0.7134,-17.8928
16.7305,-32.566
-15.631,7.344
1.2941,4.5104
16.008,6.8585
-14.4981,-11.286
-14.9388,-2.1092
-2.1995,-6.0484
16.5381,-8.7723
49.7551,-3.2485
22.3227,-4.3506
23.1545,-18.5512
17.9886,8.7076
23.2222,-27.9051
18.3542,-14.7071
11.1071,1.0349
